product_img_url,product_id,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-wXAICEIVOReNonXvapE99Hqs.png?st=2025-01-02T00%3A58%3A01Z&se=2025-01-02T02%3A58%3A01Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-02T01%3A37%3A50Z&ske=2025-01-03T01%3A37%3A50Z&sks=b&skv=2024-08-04&sig=zTfMqiAQWO0QCeqsFsS87SkwdONp35U4BtsSqxKCbww%3D,1,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-UlsH3F3X3VmAGHpQzOL91fs0.png?st=2025-01-02T00%3A58%3A26Z&se=2025-01-02T02%3A58%3A26Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-01T22%3A01%3A58Z&ske=2025-01-02T22%3A01%3A58Z&sks=b&skv=2024-08-04&sig=sG232NfNEi24ctQ6goJUoLxiqA63RVGZfJ88AoD2344%3D,2,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-v5gWzXxS3OvATwIy1W4ReRZb.png?st=2025-01-02T00%3A58%3A46Z&se=2025-01-02T02%3A58%3A46Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-01T21%3A35%3A39Z&ske=2025-01-02T21%3A35%3A39Z&sks=b&skv=2024-08-04&sig=nrNrGfzk79DYPpsDhFN1YRzHjvhYhwu4vG84e30HdIw%3D,3,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-arYn0GXHCjD6ybdFzSmLayJa.png?st=2025-01-02T00%3A59%3A10Z&se=2025-01-02T02%3A59%3A10Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-01T17%3A57%3A20Z&ske=2025-01-02T17%3A57%3A20Z&sks=b&skv=2024-08-04&sig=NRk7XYowIuoiG/eE65jmEJzyXVs1IJyB%2BK5UPrW1gv8%3D,4,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-8Z6s19TdDkdF1gkQinv2wvZo.png?st=2025-01-02T00%3A59%3A31Z&se=2025-01-02T02%3A59%3A31Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-01T06%3A12%3A45Z&ske=2025-01-02T06%3A12%3A45Z&sks=b&skv=2024-08-04&sig=1/wmmcnjJfYdC02Q8hZt7zuL/vNW/DqgnxMqE9hgdZI%3D,5,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-s02W9t8mjnAejSoF8nKYr0x5.png?st=2025-01-02T00%3A59%3A55Z&se=2025-01-02T02%3A59%3A55Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-01T17%3A09%3A38Z&ske=2025-01-02T17%3A09%3A38Z&sks=b&skv=2024-08-04&sig=SdxlaDuSC2JL%2BmO4gJe5RY227BvAvJg09HjeCXWhEFk%3D,6,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-R5HpgNnXCO7EUc7qo3Q4QL1B.png?st=2025-01-02T01%3A00%3A19Z&se=2025-01-02T03%3A00%3A19Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-01T21%3A41%3A48Z&ske=2025-01-02T21%3A41%3A48Z&sks=b&skv=2024-08-04&sig=8t/vIbTlNx/ECclRctvRyw9jGVxVoAs3rn8Amnb%2BqLY%3D,7,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-y42mqGEqpkUXgA0kiCTaO0Ls.png?st=2025-01-02T01%3A00%3A43Z&se=2025-01-02T03%3A00%3A43Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-01T22%3A03%3A08Z&ske=2025-01-02T22%3A03%3A08Z&sks=b&skv=2024-08-04&sig=h75wtHfzMsDCgpJPuiC3wiKlnIHQbQrNLf1aaNbaE0w%3D,8,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-yQR5lWpuGJiusvcGYDGEwaS8.png?st=2025-01-02T01%3A01%3A05Z&se=2025-01-02T03%3A01%3A05Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-01T21%3A54%3A12Z&ske=2025-01-02T21%3A54%3A12Z&sks=b&skv=2024-08-04&sig=SbeHeA1qF7mZYTTGItaFlHK2%2BnNYaz6Z6dD3qr34uV8%3D,9,
https://oaidalleapiprodscus.blob.core.windows.net/private/org-GMnbtRP4ficn3DyHiO8HT2Ou/user-uBxP2K66QnLbLi7g9cnyXmw2/img-ql0id1xTYAVfHi6jx1b4MsfK.png?st=2025-01-02T01%3A01%3A29Z&se=2025-01-02T03%3A01%3A29Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2025-01-01T15%3A08%3A53Z&ske=2025-01-02T15%3A08%3A53Z&sks=b&skv=2024-08-04&sig=Dd6i%2BxshRhKJkr1lQbAibGz7lCaXxSDwrb%2BdMNGar/M%3D,10,
